STASIUN 3;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
15;1,62;0,22;0,35;A < 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
16;2,2;0,89;0,42;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
17;3,16;1,53;0,49;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
18;2,28;0,52;0,32;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;0,82;0,62;0,23;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
20;0,78;0,68;0,21;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
21;0,99;0,15;0,17;A < 0.5 T;Sedikit;Ada;Ada;4;PODUROMORPHA
22;0,9;0,09;0,17;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
23;0,68;0,17;0,18;A < 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
24;1,08;0,7;0,21;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
25;0,97;0,62;0,39;A > 0.5 T;Sedikit;Ada;Ada;1;SYMPHYPLEONA
26;1,65;0,26;0,22;A > 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
27;0,72;0,62;0,25;A > 0.5 T;Sedikit;Ada;Ada;1;SYMPHYPLEONA
28;0,88;0,56;0,25;A > 0.5 T;Sedikit;Ada;Ada;1;SYMPHYPLEONA
29;2,19;0,19;0,4;A < 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
30;0,83;0,48;0,23;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
31;1,04;0,76;0,36;A > 0.5 T;Sedikit;Ada;Ada;1;SYMPHYPLEONA
32;3,12;0,97;0,5;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
33;3,88;2,03;0,77;A > 0.5 T;Tidak ada;Ada;Ada;3;ENTOMOBRYOMORPHA
34;0,77;0,52;0,23;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
35;2,48;0,67;0,34;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
36;0,77;0,57;0,25;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
37;0,29;0,31;0,12;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
38;3,63;1,26;0,63;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
39;0,78;0,56;0,23;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
40;0,78;0,63;0,28;A > 0.5 T;Banyak;Ada;Ada;1;SYMPHYPLEONA
41;2,58;0,4;0,47;A < 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 2 TITIK 3;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;3,56;1,11;0,5;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
2;1,4;0,29;0,24;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
3;3,43;0,8;0,5;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
4;2,11;0,51;0,34;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
5;0,98;0,18;0,14;A > 0.5 T;Sedikit;Ada;Ada;4;PODUROMORPHA
6;0,52;0,1;0,09;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
7;2,96;1,2;0,47;A > 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
8;2,06;0,21;0,35;A < 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
9;1,21;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
10;2,62;0,87;0,41;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
11;1,01;0,17;0,19;A < 0.5 T;Sedikit;Ada;Ada;5;PODUROMORPHA
12;1,35;0,31;0,17;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
13;1,96;0,23;0,47;A < 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
14;1,48;0,26;0,2;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
15;0,27;0,25;0,1;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
16;1,27;0,41;0,2;A > 0.5 T;Sedikit;Ada;Ada;3;PODUROMORPHA
17;2,17;0,52;0,45;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
18;1,57;0,48;0,23;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;1,02;0,16;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;2,96;0,89;0,44;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
21;3,5;1,05;0,63;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
22;3,37;1,09;0,76;A > 0.5 T;Tidak ada;Ada;Ada;1;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 2 TITIK 4;;;;;;;;;
